Num of flow,Sum Flow Duration,Max Flow Duration,Sum Tot Fwd Pkts,Max Tot Fwd Pkts,Sum Tot Bwd Pkts,Max Tot Bwd Pkts,Sum TotLen Fwd Pkts,Max TotLen Fwd Pkts,Sum TotLen Bwd Pkts,Max TotLen Bwd Pkts,Sum Fwd IAT Tot,Max Fwd IAT Tot,Sum Bwd IAT Tot,Max Bwd IAT Tot,Sum Fwd PSH Flags,Max Fwd PSH Flags,Sum Bwd PSH Flags,Max Bwd PSH Flags,Sum Fwd URG Flags,Max Fwd URG Flags,Sum Bwd URG Flags,Max Bwd URG Flags,Sum Fwd Header Len,Max Fwd Header Len,Sum Bwd Header Len,Max Bwd Header Len,Sum FIN Flag Cnt,Max FIN Flag Cnt,Sum SYN Flag Cnt,Max SYN Flag Cnt,Sum RST Flag Cnt,Max RST Flag Cnt,Sum PSH Flag Cnt,Max PSH Flag Cnt,Sum ACK Flag Cnt,Max ACK Flag Cnt,Sum URG Flag Cnt,Max URG Flag Cnt,Sum CWE Flag Count,Max CWE Flag Count,Sum ECE Flag Cnt,Max ECE Flag Cnt,Sum Init Fwd Win Byts,Max Init Fwd Win Byts,Sum Init Bwd Win Byts,Max Init Bwd Win Byts,Sum Fwd Act Data Pkts,Max Fwd Act Data Pkts,Label
208,152135307,65124540,1657,1177,223,18,21389.0,12550.0,10434.0,275.0,147879955.0,65124173.0,115257774.0,65121534.0,0,0,0,0,0,0,0,0,15008,9416,2644,584,1,1,43,6,35,1,16,16,70,35,0,0,0,0,0,0,540200,14600,509,509,1430,1176,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,214956660,105529857,169,16,161,16,5766.0,70.0,6515.0,275.0,209653541.0,105529857.0,54141955.0,54141955.0,0,0,0,0,0,0,0,0,2288,520,1884,520,2,1,19,2,17,1,14,14,50,31,0,0,0,0,0,0,266450,14600,509,509,1,1,0
79,57196215,57056539,93,15,93,15,3118.0,46.0,4113.0,275.0,53059101.0,53059101.0,57055256.0,57055256.0,0,0,0,0,0,0,0,0,1360,488,1220,488,2,1,9,2,7,1,13,13,38,29,0,0,0,0,0,0,120450,14600,1020,510,0,0,0
3058,19408665132,117511355,10269,14,625,12,23370.0,92.0,38498.0,245.0,19320911332.0,117511355.0,273061902.0,94000937.0,1,1,0,0,0,0,0,0,392428,456,6776,392,16,2,9667,5,94,1,18,11,185,25,0,0,0,0,0,0,37014570,14600,443947,65160,20,4,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,3331059700,117869870,1230,20,492,17,372332.0,2664.0,7912.0,275.0,3243492007.0,117869870.0,279865254.0,115842194.0,141,1,0,0,0,0,0,0,23904,552,9424,552,334,2,531,20,266,2,432,15,906,33,0,0,0,0,0,0,4812242,14600,2089152,65535,278,3,0
2451,4218534143,113361917,5195,16,2019,16,491423.0,2088.0,19872.0,2088.0,3662915707.0,113361917.0,467251118.0,101844512.0,84,1,0,0,0,0,0,0,138332,520,51928,520,1238,2,2398,5,1276,4,770,14,4680,31,0,0,0,0,0,0,71042307,64528,13966925,65535,681,3,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1674,7035532816,117969580,2584,16,1575,15,326079.0,14128.0,17703.0,154.0,6381591833.0,117969580.0,451988697.0,113371277.0,37,1,0,0,0,0,0,0,52128,488,29784,488,77,2,1572,11,1155,2,382,16,1966,29,0,0,0,0,0,0,14579254,58400,2335877,65535,350,15,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,151654214,49099805,2523,2002,147,19,26000.0,18200.0,7120.0,275.0,148717785.0,46942074.0,49096224.0,49096224.0,0,0,0,0,0,0,0,0,20904,16016,1652,616,2,1,9,6,1,1,17,17,40,37,0,0,0,0,0,0,47450,14600,509,509,2368,2001,0
