Num of flow,Sum Flow Duration,Max Flow Duration,Sum Tot Fwd Pkts,Max Tot Fwd Pkts,Sum Tot Bwd Pkts,Max Tot Bwd Pkts,Sum TotLen Fwd Pkts,Max TotLen Fwd Pkts,Sum TotLen Bwd Pkts,Max TotLen Bwd Pkts,Sum Fwd IAT Tot,Max Fwd IAT Tot,Sum Bwd IAT Tot,Max Bwd IAT Tot,Sum Fwd PSH Flags,Max Fwd PSH Flags,Sum Bwd PSH Flags,Max Bwd PSH Flags,Sum Fwd URG Flags,Max Fwd URG Flags,Sum Bwd URG Flags,Max Bwd URG Flags,Sum Fwd Header Len,Max Fwd Header Len,Sum Bwd Header Len,Max Bwd Header Len,Sum FIN Flag Cnt,Max FIN Flag Cnt,Sum SYN Flag Cnt,Max SYN Flag Cnt,Sum RST Flag Cnt,Max RST Flag Cnt,Sum PSH Flag Cnt,Max PSH Flag Cnt,Sum ACK Flag Cnt,Max ACK Flag Cnt,Sum URG Flag Cnt,Max URG Flag Cnt,Sum CWE Flag Count,Max CWE Flag Count,Sum ECE Flag Cnt,Max ECE Flag Cnt,Sum Init Fwd Win Byts,Max Init Fwd Win Byts,Sum Init Bwd Win Byts,Max Init Bwd Win Byts,Sum Fwd Act Data Pkts,Max Fwd Act Data Pkts
3,2678,1326,3,1,3,1,634,544,90,46,0,0,0,0,1,1,0,0,0,0,0,0,48,32,48,32,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,4060,4060,501,501,0,0
2,3043,2671,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1430,961,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2069,1746,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1870,1647,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1863,1531,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5068466,2976571,17,3,8,1,2904,1644,360,46,5048314,2976571,0,0,0,0,0,0,0,0,0,0,112,24,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2,2260,1944,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5226,1973,6,1,6,1,270,46,270,46,0,0,0,0,0,0,0,0,0,0,0,0,48,8,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,865,579,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1687,1488,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17121,10820,6,1,6,1,270,46,270,46,0,0,0,0,0,0,0,0,0,0,0,0,48,8,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,931,582,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2458,2068,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6991,5264,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4738,2605,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,957,596,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1934,1611,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1745,1473,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12490,11271,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2291,1508,3,1,3,1,778,688,90,46,0,0,0,0,1,1,0,0,0,0,0,0,48,32,48,32,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,4060,4060,501,501,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1744,1550,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3237,2335,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2220,2024,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2136,1844,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4157,2755,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1620,1330,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1750,1367,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1351,1016,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,852,646,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15564,6837,12,1,12,1,540,46,589,93,0,0,0,0,0,0,0,0,0,0,0,0,96,8,96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3731,2183,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
